"2023-01-28 03:07:13am "," update "," UPDATE product_details SET `view_count` = 101 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:15:44am "," update "," UPDATE product_details SET `view_count` = 102 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:17:15am "," update "," UPDATE product_details SET `view_count` = 103 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:17:17am "," update "," UPDATE product_details SET `view_count` = 104 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:17:18am "," update "," UPDATE product_details SET `view_count` = 105 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:17:19am "," update "," UPDATE product_details SET `view_count` = 106 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:17:19am "," update "," UPDATE product_details SET `view_count` = 107 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:17:20am "," update "," UPDATE product_details SET `view_count` = 108 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:17:21am "," update "," UPDATE product_details SET `view_count` = 109 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:17:22am "," update "," UPDATE product_details SET `view_count` = 110 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:21:25am "," update "," UPDATE product_details SET `view_count` = 111 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:22:04am "," update "," UPDATE product_details SET `view_count` = 112 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:22:05am "," update "," UPDATE product_details SET `view_count` = 113 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:22:06am "," update "," UPDATE product_details SET `view_count` = 114 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:22:07am "," update "," UPDATE product_details SET `view_count` = 115 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:22:08am "," update "," UPDATE product_details SET `view_count` = 116 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:22:08am "," update "," UPDATE product_details SET `view_count` = 117 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:22:09am "," update "," UPDATE product_details SET `view_count` = 118 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:22:10am "," update "," UPDATE product_details SET `view_count` = 119 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:22:11am "," update "," UPDATE product_details SET `view_count` = 120 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:22:12am "," update "," UPDATE product_details SET `view_count` = 121 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:22:13am "," update "," UPDATE product_details SET `view_count` = 122 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:24:58am "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', NULL) "," ::1 "," URL: http://localhost/EthnicWear/Home/addtowhisList "," R: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla"
"2023-01-28 03:25:14am "," update "," UPDATE product_details SET `view_count` = 123 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:26:00am "," update "," UPDATE product_details SET `view_count` = 124 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:26:08am "," update "," UPDATE product_details SET `view_count` = 44 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:26:18am "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '133' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromWishList "," R: http://localhost/EthnicWear/whishlist"
"2023-01-28 03:26:19am "," delete "," DELETE FROM whish_list WHERE 1=1  and product_id = '110' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromWishList "," R: http://localhost/EthnicWear/whishlist"
"2023-01-28 03:27:12am "," update "," UPDATE product_details SET `view_count` = 321 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:27:15am "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', NULL) "," ::1 "," URL: http://localhost/EthnicWear/Home/addtowhisList "," R: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118"
"2023-01-28 03:28:45am "," update "," UPDATE product_details SET `view_count` = 322 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:35:11am "," update "," UPDATE product_details SET `view_count` = 323 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:35:39am "," update "," UPDATE product_details SET `view_count` = 324 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-28 03:35:44am "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '118') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtowhisList "," R: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118"
"2023-01-28 03:37:36am "," update "," UPDATE product_details SET `view_count` = 325 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/whishlist"
"2023-01-28 03:39:37am "," update "," UPDATE product_details SET `view_count` = 326 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/whishlist"
"2023-01-28 03:40:15am "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '118') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtowhisList "," R: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118"
"2023-01-28 03:40:21am "," update "," UPDATE product_details SET `view_count` = 327 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/whishlist"
"2023-01-28 03:41:13am "," update "," UPDATE product_details SET `view_count` = 328 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/whishlist"
"2023-01-28 03:41:24am "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '115') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtowhisList "," R: http://localhost/EthnicWear/shop"
